artistID,artist_name,genre
51,Duran Duran,new wave| 80s| new wave| 80s| new wave| synth pop| electronic| 80s| melancholic| british| beautiful| love it| ballad| new romantic| love| perfect| hypnotic| the best| nostalgia| new wave| fav songs| new wave songs| fav artists| 1982 songs| british artists| 1981 songs| new wave artists| 1983 songs| new romantic songs| b-sides| the beowulfs choice| scholes song| my pleasuredome| zadrotstvo| my fav fun| touching song| ogonj| absolute disco| nejlepsi| po-andoneovski| my choice| guilty pleasures| hot| sexy| new wave| 80s| new wave| 80s| synthpop| british| guilty pleasure| fucking amazing| new wave| electronic| pop| 80s| rock| alternative| indie| uk| classic rock| british| 00s| 90s| britpop| new romantic| cover| duran duran| new romantic| dance-pop| pop| new wave| synthpop| singer-songwriter| british| 80s pop| brit pop| new romantic| new wave| synth pop| 80s| new wave| favorite tracks| duran my fave from wedding album| love duran jt| madonna| 2008| nelly furtado| synth pop| 80s| british| 1981| rain| new wave| pop| 80s| duran duran| favourites| duran duran| best songs ever| tag your songs properly| artists| new wave| synthpop| ballad| new romantic| tender| new wave| 80s| weirdness| seen live| new wave| legend| new wave| 80's| new romantic| electro-pop| duran duran| new wave| 80s| old school| awesome| favorites| new romantic| eighties| 1981 songs| new romantic songs| b-sides| erotic| best| i want back to the 80s| duran| hit| 90s| 90's| 1990s| nineties| 1990's| my favorites| new wave| 80s| 1008| new wave| 80s| new romantic| love at first listen| new wave| electronic| 80s| atmospheric| ethereal| dance| rock| synthpop| alternative rock| alternative| house| electronica| hot| 00s| sexy| new romantic| dramatic| remix| club| duran duran| all time faves| energetic| b-side| anthemic| stylish| majestic| james bond| new wave| 80s| synthpop| new wave| 80s| new wave| 80s| synth-pop| new romantic| b-sides| duran duran| b-side| new wave| pop| 80s| beautiful| amazing vocal| reasons to love 80s| chilled| britpop| 80s| pop| 80s| new wave| pop| 80s| rock| duran duran| dd| cover| covers| drugs| sex| political| religion| numbers| scifi| blue songs| new wave| pop| 80s| atmospheric| dance| synthpop| alternative| 00s| new romantic| duran duran| 80s| 80s| 80s| 80s| rock| ambient| new wave| electronic| 80s| experimental| dub| rock| soundtrack| acoustic| instrumental| 90s| live| cover| remix| faves| demo| duran duran| single| b-side| slowies| edit| song with samples| seen live| favourites| bond| new wave| 80s| synthpop| seen live| 00s| 90s| new romantic| favourite songs| pop| 80s| new wave| electronic| pop| pop| new wave| pop| 80s| 80s stuff| danny| johnny| bad day| life on mars| titans| bobbi| roy| clint| simon| babs| wally| runaways| rachel| government| caleb| tula| tony| jason| kon| amelia| tara| bad days| unsure| x-men| roxy| bad girls| namora| teddy| songs to feel happy to| chillout| melancholic| pop rock| love| romantic| mellow| new romantic| 1995| new wave| electronic| 80s| synthpop| uk| seen live| new romantic| synth pop| 80s| new wave| synth pop| pop| 80s| new wave| synth pop| soundtrack| acoustic| instrumental| 90s| live| mellow| remix| retro| mix| duran duran| seen in concert| pop| 80s| rock| new wave| pop| 80s| synthpop| 80s| seen live| james bond| new wave| pop| 80s| rock| new wave| 80s| rock| alternative| indie| indie rock| singer-songwriter| grunge| post-punk| indie pop| britpop| acoustic rock| u2| pop| 80s| british| new romantics| new wave| british| loved tracks| leftovergrooves| collectables| new wave| pop| 80s| seen live| british| duran duran| epic| 90s| new wave and eighties| 80s| covers| new wave| uk
52,Morcheeba,chillout| downtempo| electronic| trip-hop| female vovalists| chillout| downtempo| trip-hop| dance| female vocalists| chillout| electronic| trip-hop| chillout| trip-hop| chillout| downtempo| trip-hop| chillout| downtempo| trip-hop| chillout| electronic| female vocalists| electronic| trip-hop| chillout| downtempo| lounge| trip-hop| pop| easy listening| vocal| chill| relax| trip-hop| chillout| downtempo| electronic| lounge| trip-hop| female vocalists| science| cities| transport| cars| trip-hop| hip-hop| sexy| electronic| drug music| my fav songs| seen live| trip-hop| chillout| downtempo| trip-hop| female vocalists| seen live| trip-hop| favorite artist| alsolike| the end| btvs| soundtrack| trip-hop
53,Air,electronic| autumn| downtempo| electronic| trip-hop| instrumental| dark| hypnotic| meditative| trip-hop| electronic| experimental| electronic| sexy| mellow| music for my soul| electronic| curious about| indie| seen live| air| electronic| french| downtempo| trip-hop| vocal| mellow| dream| electronic| chillout| electronic| alternative| indie| electronica| french| chillout| electronic| love| electronic| chillout| ambient| electronic| electronica| french| chillout| ambient| downtempo| electronic| lounge| trip-hop| love it| french| aana| electronica| ambient| electronic| alternative| ambient| electronic| lounge| alternative| indie| cool| gay| sweet electronic| electronic| trip-hop| classic rock| chillout| ambient| electronic| eletronic| instrumental| sexy| english| chillout| electronic| dub| soundtrack| demo| downbeat| ambient| electronic| electronic| ambient| electronic| chillout| ambient| favourite songs| electronic| chillout| electronic| pastel| my electro feelings| just chillin| mellow| chillout| ambient| downtempo| electronic| electronica| alternative| european| downtempo| trip-hop| 80s| dance| jazz| instrumental| indie pop| 90s| indietronica| trip-hop| chillout| downtempo| electronic| favorite artist| friends| alsolike| beautiful| amazing| 90s| brilliant| beautiful music| chillout| ambient| electronic| electronica| french| ambient| atmospheric| electro| piano| relaxing| dreamy| sad| relax| sweet| dreamlike| sex music| effy| chillout| ambient| electronic| trip-hop| alternative| electronica| chillout| ambient| electronica| veronica mars| downtempo| chillout| ambient| electronic| trip-hop| alternative| sexy| dream pop| ambient| electronic| french| 90s| chillout| ambient| electronic| french| favourites| brilliant| chillout| electronic| electronic| france
54,Hooverphonic,relax| electronic| female vocalist| trip-hop| chillout| electronic| trip-hop| trip-hop| vocal| chill| chillout| downtempo| trip-hop| belgian| chillout| downtempo| electronic| lounge| trip-hop| ethereal| female vocalists| dreamy| aana| trip-hop| indie| dream pop| post modern| cities| trip-hop| chillout| chillout| ambient| trip-hop| electronic| pop| alternative| indie| 00s| 90s| trip-hop| electronic| seen live| my electro feelings| remember him| trip-hop| pop| mellow| remix| chillout| downtempo| electronic| trip-hop| alternative| female vocalists| electronica| chillout| electronic| trip-hop| female vocalists| trip-hop| favorite| favorite artist| alsolike| trip hop| trip-hop| chillout| downtempo| electronic| trip-hop| rock| alternative| female vocalists| sexy| trip-hop| female vocalists| trip hop
55,Kylie Minogue,seen live| electronic| pop| dance| pop dance| female vocalists| hot| guilty pleasures| electro pop| disco| fierce| urban pop| diva| electronic| pop| 80s| dance| female vocalist| alternative| indie| trance| seen live| female vocalists| electronica| hot| disco| diva| latin| electro| female| gay| gay icons| gay icon| europop| 90s| dance pop| queen of pop| top artists| australian| brit pop| pwl| kylie minogue| kylie| best of pop| kylie minogue| new wave| electronic| 80's| pop| 80s| dance| synthpop| indie| electronica| electropop| 90s| 80s awesome| i love 80s| back to the 80s| dance-pop| 80s new wave| english| i love disco diamonds| 80s dance| eighties| pop| pop| dance| mellow| electronic| dance| alternative| female vocalists| sexy| electro| electronic| pop| dance| female vocalists| legend| girl power| heart| myfavorites-singers| biggest-voices| the place promised in our early days| all-time favourites| electronic| pop| dance| sexy| love| love at first listen| electronic| electro-pop| electronic| pop| dance| female vocalists| catchy| australian| 80s| disco| love at first listen| sex| dance| icon| national treasure| the queen| pop heaven| electronic| pop| dance| female vocalists| pop| dance| australian| luxo| dance| pop| dance| dance| hip-hop| house| rnb| dark| sexy| awesome| great| soul| urban| sad| sensual| dirty| alternative| pop| dance| <3| fave songs ever| pop| alternative| glam| diva| electronic| pop| dance| female vocalists| australian| love at first listen| aphrodite| goddess of pop| makes me feel sexy| i want to be independent listening to| electronic| dance| female vocalists| rnb| sexy| love it| sexy songs| pop| female vocalists| latin| 90s| electronic| pop| dance| rock| indie| indie pop| australian| soul| i wish i could make a video for this| ugly betty| xenomania| dance| female vocalists| pop princess| great songs| electro pop| 80's| 80s| eighties| 1980s| popular| 1980's| 80s| female vocalists| 90s| pop| dance| shoulhavemoreplays| dance| 90s| remix| club| energetic| village| dance| classic| love at first listen| the queen of dance pop| electronic| pop| dance| female vocalist| beautiful| power pop| female| favorites| amazing vocal| cool| divas| pop life| pop pleasure| girl shit| female artists| electronic| pop| pop| dance| australia| eletropop| dance queen| pop| pop| dance| female vocalists| instrumental| female| 90s| 1992| 1991| dance| beautiful| makes me smile| emotional pop| pop| dance| female vocalists| electronic| dance| pop| dance| disco| australian| pop| artmaker| hora de ser mae| electronic| pop| dance| catchy| love it| sexy| pop| dub| female| 90s| pet shop boys| female vocalists| aussie| pop singles| chillout| electronic| dance| electronica| disco| australian| romantic| techno| perfection| chill-out| camp| flirty| electronic| pop| british| disco| sexy| europop| europe| i am a party girl here is my soundtrack| electronic| pop| 80s| dance| female vocalists| rnb| 00s| 90s| electronic| summer song| good old times| lpa| great moments at et7| best songs of the 80s| pop| dance| electronic| pop| dance| electroclash| deep-clash| broken-clash| dance| amazing| my life| pop| dance| vocalista feminimo| pop| favorites| love| pop| love song| happy| singalong| i want this played at my wedding| dance| pop| dance| female vocalists| electronic| 80s| dance| female vocalists| 90s| australian| female vocalists| kylie minogue| best music ever| party| seen live| electronic| pop| dance| disco| australian| electronic| pop| dance| female vocalists| australian| pop| dance| female vocalists| 00s| 10s| 2010| 2009| 2007| pop| dance| catchy| electronic| pop| dance| pop| sexy| 80s| pop| 80s| dance| seen live| female vocalists| electropop| 00s| 90s| 90s dance| leftovergrooves| electronic| pop| dance| rock| synthpop| pop| house| seen live| female vocalists| emotional| makes me wanna dance| weekly top tracks| weekly top artists| diva| pop princess| glam| flop| beautiful songs| best dance singer| neighbours| pop| hot| favorite song| 80s| pop| dance| female vocalists| electronic| pop| australia| gluhie 90e
56,Daft Punk,electronic| dance| electronica| electronic| 80's| 80s| dance| synthpop| electronica| electropop| 00s| awesome| electro| 90s| synth| 10s| electronic| house| french| electronic| dance| electronic| alternative| party| the beowulfs choice| scholes song| po-kraftwerkski| electronic| dance| electronica| beautiful| amazing| electro| techno| remix| breathtaking| cool| mix| dance| french| alternative| house| electro| techno| electro punk| dance| eletronica| electronic| house| electronic| dance| electronica| dance| house| techno| techno rock| legend| electronic| funk| electronic| electronic| electronica| french| instrumental| popular| 2000s| electronic| dance| house| electronica| electro| techno| electronic| 70s| electronic| electronic| dance| house| electronic| dance| house| electronica| techno| electronic| electronic| pop| electronic| dance| house| electronica| techno| cool| descoperiri| electroclash| live| remix| beats| tron legacy ost| electronic| dance| house| science| electronic| dance| male vocalists| electro| french| fun| top 40| danceable| catchy as hell| dance party| house| soundtrack| remix| electronic| french| chillout| electronic| dance| electronica| disco| perfection| house society| electronic| techno| electronic| electronica| house| driving music| late night tunes| makes me want to dance| electronic| dance| alternative| electronica| 90s| fun| the best| french electronic| electronic| alternative| french| bass| aeroelectronic punk| electronic| dance| electro| electronic| electronica| neon space| my electro feelings| idolo| french| electronic| dance| house| electronica| techno| dance - trance| work out music| electronic| electronica| techno brut| electronic| dance| house| electro| techno| electronic| dance| electronica| techno| electronic| daft punk| electronic| dance| house| electronica| techno| house| electro| french| sick| love itt| tune| chillout| electronic| atmospheric| experimental| dance| alternative| beautiful| awesome| electro| fun| classic| perfect| happy| cool| electronic house| electronic| synth-pop| electronic| tinosoft| electronic| french house| chillout| eletronic
57,Thievery Corporation,lounge| chill| favorites| downtempo| trip-hop| laid back| chillout| lounge| trip-hop| house| chillout| downtempo| lounge| trip-hop| chill| chillout| ambient| downtempo| electronic| lounge| trip-hop| acid jazz| love it| french| descoperiri| aana| special| trip-hop| chillout| electronic| chillout| garden state soundtrack| chillout| just chillin| electronic| chillout| downtempo| electronic| lounge| downtempo| electronic| trip-hop| world| trip hop| lounge| chillout| trip-hop| downtempo| trip-hop
58,Goldfrapp,electronic| dance| electronica| electronic| alternative| indie| chillout| ambient| downtempo| electronic| ethereal| experimental| alternative| indie| female vocalists| singer-songwriter| british| 00s| relaxing| chill| dowloan required| electronica| female vocalists| electronic| trip-hop| folk| trip-hop| trip-hop| electronica| electronic| experimental| dance| indie| female vocalists| love it| glam| sexy songs| electronic| synthpop| electronic| synthpop| sexy| electronic| seen live| british| female electronic| trip-hop| vocal| electronic| alternative| electronica| british| 00s| electro| stylish| electronic| trip-hop| pop| female vocalists| electronica| electronic| trip-hop| female vocalists| electronic| female vocalists| cool| downtempo| electronic| trip-hop| female vocalists| british| mellow| special| electronic| trip-hop| dance| female vocalists| house| house md| transport| ambient| downtempo| electronic| trip-hop| experimental| dance| female vocalist| trip hop| synthpop| alternative| indie| uk| female vocalists| electronica| british| electropop| sexy| female| electroclash| electronic| female vocalists| electronica| electronic| trip-hop| electronic| female vocalists| dance| electronic| dub| alternative| instrumental| british| female| remix| mute records| electronic| dance| electronica| disco| electronic| female vocalists| 2008| my fav songs| electronic| pop| alternative| uk| seen live| rafa| my electro feelings| q sexy| electronic| electronic| dance| dance - trance| ambient| alternative| fun| favorites| favourite| beautiful track| electronic| pop| the vampire diaries| best song ever| sex| electronic| dance| british| friends| i buy singles for b-sides like this| electronic| trip-hop| dance| female vocalists| electronica| electronic| trip-hop| female vocalists| essential instrumental versions| chillout| ambient| electronic| atmospheric| experimental| dance| uk| acoustic| lovely| electro| brilliant| 2010| genius| mellow| relaxing| dreamy| sad| female vocalists| british| electronic| trip-hop| pop| alternative| female vocalists| sexy| electronic| trip-hop| dance| female vocalists| electronica| glam rock| electro| experimental| female vocalists| launge| light trip-hop| uk
59,New Order,new wave| 80s| techno pop| new wave| electronic| 80s| dance| 80s awesome| 80s new wave| english| new wave| fav songs| new wave songs| fav artists| synthpop songs| british artists| new wave artists| 1983 songs| songs to listen to on a sunny day| the beowulfs choice| scholes song| the pedofinder general| ogonj| po-andoneovski| new wave| electronic| dance| post-punk| indie pop| new wave| electronic| rock| synth pop| post-punk| college rock| alternative dance| new wave| alternative| indie| new wave| 80s| alternative| post-punk| new wave| electronic| 80s| british| post-punk| electronic| new wave| synth pop| electronic| dance| alternative| british| favourites| artists| electronic| ultimate favorite| new wave| electronic| alternative| post-punk| electronic| 80s| soundtrack| dancey| poppy| spacey| new wave| electronic| 80s| rock| alternative| new wave| new wave| synth pop| 80s| dance| alternative| british| techno| new wave| electronic| alternative rock| post-punk| alternative dance| new order| new wave| my favorites| new wave| electronic| 80s| post-punk| melodramatic synths| remix| beats| new wave| electronic| 80s| alternative| indie| electronica| post-punk| new wave| 80s| soundtrack| death| crime| colors| numbers| days| dance| favorites| new wave| 80's| 80s| melancholy| indie rock| uk| gothic| punk| post-punk| the cure| post punk| cold| new wave| 80s| electronica| british| post-punk| new wave| berep shows the love| new wave| new wave| electronic| post-punk| new wave| electronic| alternative| post-punk| 80s| new wave| electronic| dub| alternative| indie| instrumental| 90s| manchester| single| b-side| edit| 80s| new wave| 80s| rock| post-punk| electronic| new wave| electronic| 80s| alternative| unknown| beach| factory records| new wave| post-punk| new wave| melancholic synth-pop| new wave| electronic| 80s| alternative| new wave| electronic| pop| 80s| rock| soundtrack| retro| favorite songs| 80s| seen live| electronica| british| new order| 80s alternative| new wave| post-punk| 80s| experimental| synthpop| 00s| post-punk| male vocalists| 90s| best song ever| new wave| new wave| 80s| rock| alternative| indie| indie rock| singer-songwriter| grunge| post-punk| indie pop| britpop| acoustic rock| u2| songs i sing in the shower| new wave| 80s| alternative| new wave| electronic| 80s| alternative| 80s| indie| ich liebe dich| electronic| 80s| british| manchester| new wave| synthpop| new wave| electronic| 80s| dance| electronica| alternative rock| synth pop| electronic| uk| british| manchester| dance dance dance| synth-pop| party| drum machine| yay| favorite bands| new wave and eighties
60,Matt Bianco,animals
